0	17.018802	18.524034	20.44217	22.725531	24.732482	26.72354	28.437764	28.952055	29.906703	31.091067	32.511824	34.465827	35.04932	35.745085	36.864522	37.478623	38.283097	39.164302	39.688042	40.414916	41.541035	42.808969	44.127124	45.925416	46.898619	48.494689	50.811944	52.905657	54.724001	59.856652
650	-0.006585	-0.007069	-0.007	-0.006908	-0.006862	-0.006701	-0.006747	-0.006862	-0.006862	-0.006954	-0.007	-0.006954	-0.007	-0.006954	-0.006954	-0.006908	-0.006862	-0.006286	-0.007	-0.007069	-0.007115	-0.007161	-0.007276	-0.007276	-0.007322	-0.007207	-0.007207	-0.007276	-0.007414	-0.007576
650.5	-0.006654	-0.007069	-0.007069	-0.006908	-0.006908	-0.006747	-0.006747	-0.006862	-0.006908	-0.006954	-0.007	-0.006954	-0.006954	-0.007	-0.006954	-0.006908	-0.006862	-0.00624	-0.007	-0.007069	-0.007115	-0.007161	-0.007322	-0.007322	-0.007322	-0.007253	-0.007322	-0.007322	-0.007414	-0.007576
651	-0.006585	-0.007	-0.006954	-0.006885	-0.006839	-0.006677	-0.006747	-0.006839	-0.006793	-0.006885	-0.006954	-0.006885	-0.006885	-0.006954	-0.006885	-0.006839	-0.006839	-0.006217	-0.006954	-0.007046	-0.007092	-0.007161	-0.007253	-0.007299	-0.007299	-0.007207	-0.007253	-0.007299	-0.007368	-0.007576
651.5	-0.006585	-0.007	-0.007	-0.006885	-0.006839	-0.006631	-0.006793	-0.006839	-0.006839	-0.006954	-0.006954	-0.006954	-0.006954	-0.006954	-0.006885	-0.006954	-0.006793	-0.006217	-0.007	-0.007046	-0.007092	-0.007207	-0.007253	-0.007253	-0.007253	-0.007207	-0.007299	-0.007253	-0.007414	-0.007622
652	-0.006631	-0.007046	-0.006931	-0.006931	-0.006885	-0.006677	-0.006724	-0.006839	-0.006839	-0.006931	-0.006931	-0.007	-0.007	-0.006931	-0.006931	-0.006885	-0.006793	-0.006263	-0.007	-0.007092	-0.007092	-0.007207	-0.007253	-0.007299	-0.007299	-0.007253	-0.007253	-0.007299	-0.007414	-0.007506
652.5	-0.006585	-0.007046	-0.006977	-0.006885	-0.006839	-0.006724	-0.006839	-0.006885	-0.006839	-0.006931	-0.006977	-0.006931	-0.006977	-0.006931	-0.006931	-0.006839	-0.006839	-0.006263	-0.007046	-0.007092	-0.007138	-0.007184	-0.007253	-0.007253	-0.007345	-0.007184	-0.007299	-0.007299	-0.007391	-0.007599
653	-0.006724	-0.007138	-0.007092	-0.007	-0.007	-0.006839	-0.006839	-0.006885	-0.006931	-0.007046	-0.007046	-0.007046	-0.007092	-0.007092	-0.007046	-0.007	-0.006885	-0.006309	-0.007092	-0.007207	-0.007207	-0.007299	-0.007345	-0.007414	-0.00746	-0.007299	-0.007414	-0.00746	-0.00746	-0.007668
653.5	-0.006562	-0.006977	-0.006977	-0.006816	-0.006816	-0.006724	-0.006724	-0.00677	-0.006816	-0.006885	-0.006977	-0.006977	-0.006931	-0.006977	-0.006931	-0.006885	-0.006816	-0.006194	-0.006931	-0.007092	-0.007092	-0.007138	-0.007299	-0.00723	-0.00723	-0.007184	-0.00723	-0.00723	-0.007391	-0.007483
654	-0.006608	-0.007023	-0.007023	-0.006931	-0.006931	-0.00677	-0.00677	-0.006816	-0.006885	-0.006931	-0.007023	-0.006977	-0.007023	-0.006977	-0.006977	-0.006931	-0.006885	-0.006309	-0.006977	-0.007092	-0.007138	-0.00723	-0.007299	-0.007299	-0.007299	-0.007184	-0.007345	-0.007299	-0.007391	-0.007599
