%wavelength			
916	0.0078922	0.0094176	1.30E-04
918	0.0082367	0.0099567	1.29E-04
920	0.0087093	0.010469	1.28E-04
922	0.0092633	0.010974	1.26E-04
924	0.0098433	0.011345	1.25E-04
926	0.010475	0.011681	1.24E-04
928	0.01113	0.011631	1.22E-04
930	0.012188	0.011466	1.21E-04
932	0.013246	0.010754	1.19E-04
934	0.014419	0.0098676	1.18E-04
936	0.015625	0.0086855	1.17E-04
938	0.017071	0.0074003	1.16E-04
940	0.018757	0.0062007	1.14E-04
942	0.02044	0.0050332	1.13E-04
944	0.022112	0.0041383	1.11E-04
946	0.023784	0.0033536	1.10E-04
948	0.026747	0.002785	1.09E-04
950	0.029785	0.0023107	1.07E-04
952	0.032953	0.0019588	1.06E-04
954	0.036186	0.001664	1.05E-04
956	0.039088	0.0014508	1.04E-04
958	0.041468	0.0012784	1.03E-04
960	0.04374	0.001147	1.02E-04
962	0.045152	0.0010374	1.02E-04
964	0.046564	0.00095481	1.01E-04
966	0.047179	0.00088752	9.98E-05
968	0.047635	0.00083798	9.91E-05
970	0.048005	0.00079924	9.83E-05
972	0.048306	0.00077074	9.76E-05
974	0.048529	0.00074887	9.66E-05
976	0.048549	0.00073944	9.59E-05
978	0.048569	0.00073861	9.51E-05
980	0.048205	0.00074986	9.47E-05
982	0.04784	0.00077001	9.37E-05
984	0.047304	0.00082366	9.31E-05
986	0.046702	0.0009036	9.24E-05
			
			
			
			
			
			
			
