%wavelength nm	Hb02 mm-1/mM	Hb mm-1/mM	H20 1/mm	fat  (mm-1 ) 	icg (mm-1/mM)	mb (mm-1/mM)
818	0.2193	0.18078	0.0023025	0.00032724	4.125177135	0.012888432
820	0.22157	0.18021	0.0023675	0.00035807	3.690947963	0.012888432
822	0.22394	0.17979	0.0024422	0.00038631	3.28051217	0.012888432
824	0.22632	0.1794	0.0025603	0.00040154	2.929559826	0.01196783
826	0.22832	0.1793	0.0027326	0.00041486	2.611323378	0.01196783
828	0.23026	0.17924	0.0029212	0.00041746	2.346622033	0.012888432
830	0.23231	0.17917	0.0031921	0.00041662	2.093817378	0.01196783
832	0.23437	0.1791	0.0034629	0.00039393	1.879676964	0.01196783
834	0.23671	0.17902	0.0036191	0.00037228	1.68932993	0.01196783
836	0.23907	0.17894	0.0037608	0.00035808	1.51682793	0.01196783
838	0.24097	0.17894	0.0038604	0.00034312	1.371093482	0.01196783
840	0.24284	0.17894	0.003933	0.00032181	1.237255723	0.01196783
842	0.24461	0.17904	0.0040004	0.00030126	1.121262999	0.011047228
844	0.24638	0.17914	0.0040571	0.0002883	1.014192792	0.011047228
846	0.24847	0.17934	0.0041131	0.00027631	0.92496762	0.01196783
848	0.25056	0.17954	0.0041565	0.00027631	0.841690793	0.011047228
850	0.25243	0.17987	0.0041999	0.00027631	0.770310655	0.011047228
852	0.25429	0.18021	0.0042426	0.00027631	0.704878862	0.011047228
854	0.25589	0.18068	0.0042851	0.00027682	0.648369586	0.01196783
856	0.2575	0.18116	0.0043369	0.00028795	0.594834482	0.01196783
858	0.2593	0.18177	0.0043981	0.00030015	0.544273551	0.011047228
860	0.26111	0.18239	0.0044566	0.00034598	0.499660965	0.011047228
862	0.26293	0.18318	0.004506	0.00039234	0.458022551	0.011047228
864	0.26472	0.18399	0.0045555	0.00047248	0.425306655	0.011047228
866	0.26635	0.18501	0.0046257	0.00055263	0.392590758	0.011047228
868	0.26794	0.18602	0.0046971	0.00064507	0.365823207	0.011047228
870	0.26932	0.18696	0.0047756	0.00073752	0.339055655	0.01196783
872	0.2707	0.1879	0.0048577	0.00088744	0.312288103	0.01196783
874	0.27201	0.1888	0.0049495	0.0010382	0.285520552	0.011047228
876	0.27332	0.18977	0.0050566	0.0012784	0.264701345	0.011047228
878	0.27463	0.19105	0.0051644	0.0015213	0.243882138	0.011047228
