%wavelength nm	Hb02 mm-1/mM	Hb mm-1/mM	H20 1/mm	fat  (mm-1 ) 
890.00	0.28153	0.19855	0.0058485	0.0041997
892.00	0.28240	0.19958	0.0059722	0.0044651
894.00	0.28325	0.20054	0.0060786	0.0047047
896.00	0.28410	0.20149	0.0061850	0.0047409
898.00	0.28495	0.20243	0.0062922	0.0047531
900.00	0.28578	0.20332	0.0063994	0.0048954
902.00	0.28656	0.20406	0.0065231	0.0050558
904.00	0.28730	0.20471	0.0066532	0.0054783
906.00	0.28795	0.20514	0.0067955	0.0059422
908.00	0.28854	0.20546	0.0069531	0.0066533
910.00	0.28903	0.20552	0.0071212	0.0074085
912.00	0.28945	0.20546	0.0073413	0.0081308
914.00	0.28974	0.20517	0.0075615	0.0088464
916.00	0.29000	0.20475	0.0078922	0.0094176
918.00	0.29018	0.20409	0.0082367	0.0099567
920.00	0.29035	0.20325	0.0087093	0.010469
922.00	0.29052	0.20209	0.0092633	0.010974
924.00	0.29067	0.20073	0.0098433	0.011345
926.00	0.29079	0.19904	0.010475	0.011681
928.00	0.29086	0.19712	0.011130	0.011631
930.00	0.29086	0.19486	0.012188	0.011466
932.00	0.29075	0.19243	0.013246	0.010754
934.00	0.29049	0.18977	0.014419	0.0098676
936.00	0.29020	0.18694	0.015625	0.0086855
938.00	0.28990	0.18392	0.017071	0.0074003
940.00	0.28959	0.18072	0.018757	0.0062007
942.00	0.28928	0.17735	0.020440	0.0050332
944.00	0.28891	0.17373	0.022112	0.0041383
946.00	0.28846	0.16985	0.023784	0.0033536
948.00	0.28794	0.16580	0.026747	0.0027850
950.00	0.28735	0.16160	0.029785	0.0023107
952.00	0.28671	0.15730	0.032953	0.0019588
954.00	0.28603	0.15292	0.036186	0.0016640
956.00	0.28521	0.14850	0.039088	0.0014508
958.00	0.28427	0.14406	0.041468	0.0012784
960.00	0.28329	0.13961	0.043740	0.0011470
962.00	0.28230	0.13516	0.045152	0.0010374
964.00	0.28130	0.13071	0.046564	0.00095481
966.00	0.28030	0.12626	0.047179	0.00088752
968.00	0.27929	0.12282	0.047635	0.00083798
970.00	0.27827	0.12001	0.048005	0.00079924
972.00	0.27723	0.11802	0.048306	0.00077074
974.00	0.27617	0.11649	0.048529	0.00074887
976.00	0.27500	0.11190	0.048549	0.00073944
978.00	0.27377	0.10570	0.048569	0.00073861
980.00	0.27231	0.099866	0.048205	0.00074986
982.00	0.27073	0.094207	0.047840	0.00077001
984.00	0.26897	0.089536	0.047304	0.00082366
986.00	0.26713	0.085294	0.046702	0.00090360
988.00	0.26541	0.081616	0.046001	0.0010205
990.00	0.26374	0.078161	0.045176	0.0011684
992.00	0.26199	0.074879	0.044345	0.0013415
994.00	0.26022	0.071660	0.043489	0.0015369
996.00	0.25837	0.068625	0.042632	0.0017444
998.00	0.25650	0.065649	0.041663	0.0019630
1000.0	0.25459	0.062876	0.040679	0.0021817
